Country_Korean,Risk_Index,2022_Export_1000USD,2023_Export_1000USD,2024_Export_1000USD,2022_Growth_Rate,2023_Growth_Rate,2024_Growth_Rate,Safety_Focused_Score,Safety_Focused_Export_Score,Safety_Focused_Growth_Score,Safety_Focused_Safety_Score,Growth_Focused_Score,Growth_Focused_Export_Score,Growth_Focused_Growth_Score,Growth_Focused_Safety_Score,Export_Focused_Score,Export_Focused_Export_Score,Export_Focused_Growth_Score,Export_Focused_Safety_Score,Balanced_Score,Balanced_Export_Score,Balanced_Growth_Score,Balanced_Safety_Score
중국,5,3069048.0,13831908.0,13842121.0,385.94860154763177,350.69050728434354,0.07383652349336042,20.41281368906139,100.0,2.064068445306946,0.0,21.23844106718417,100.0,2.064068445306946,0.0,60.41281368906139,100.0,2.064068445306946,0.0,30.82562737812278,100.0,2.064068445306946,0.0
미국,3,698925.0,5512138.0,9667504.0,596.1525450349769,688.6594412848302,75.38573961682383,44.87093516265364,69.84120424897313,4.513471564295049,50.0,26.676323788371654,69.84120424897313,4.513471564295049,50.0,52.80741686224289,69.84120424897313,4.513471564295049,50.0,37.75774990040996,69.84120424897313,4.513471564295049,50.0
벨기에,1,3613.0,5418.0,168571.0,482.9026701119725,49.958483254912814,3011.314138058324,80.24356238469524,1.2178119234761782,100.0,100.0,80.24356238469524,1.2178119234761782,100.0,100.0,40.73068715408571,1.2178119234761782,100.0,100.0,70.36534357704285,1.2178119234761782,100.0,100.0
일본,3,622455.0,3846664.0,5262024.0,535.7196430530776,517.9826654135641,36.794479580228476,38.254585875698645,38.01457883513661,3.2583505433566113,50.0,19.55792609304129,38.01457883513661,3.2583505433566113,50.0,33.46041740975329,38.01457883513661,3.2583505433566113,50.0,27.707713867883626,38.01457883513661,3.2583505433566113,50.0
홍콩,3,338857.0,2378156.0,2952056.0,349.3619626893089,601.8169906479725,24.13214271898059,34.834628737509306,21.326616058333837,2.8465276292127086,50.0,15.973239789194391,21.326616058333837,2.8465276292127086,50.0,23.36527516084284,21.326616058333837,2.8465276292127086,50.0,22.536595869185234,21.326616058333837,2.8465276292127086,50.0
캐나다,1,50126.0,382093.0,546433.0,853.9562212683046,662.2650919682401,43.01047127270062,61.48162527923226,3.9476103409296885,3.4605160552316363,100.0,22.865831701324918,3.9476103409296885,3.4605160552316363,100.0,23.06066941560414,3.9476103409296885,3.4605160552316363,100.0,32.56848952437156,3.9476103409296885,3.4605160552316363,100.0
리투아니아,1,10656.0,41834.0,161429.0,639.1963919639196,292.58633633633633,285.879906296314,62.50513688501824,1.1662157844162755,11.359468640674923,100.0,27.048924341288206,1.1662157844162755,11.359468640674923,100.0,22.97162319878475,1.1662157844162755,11.359468640674923,100.0,34.89365219159485,1.1662157844162755,11.359468640674923,100.0
프랑스,1,53850.0,343673.0,337146.0,642.7397591332017,538.2042711234913,-1.8991890547118917,60.88711031709408,2.4356527442579066,1.9998988412124874,100.0,21.687069853579075,2.4356527442579066,1.9998988412124874,100.0,21.86137141479724,2.4356527442579066,1.9998988412124874,100.0,31.530655359762367,2.4356527442579066,1.9998988412124874,100.0
체코,1,9955.0,77314.0,97924.0,935.2370689655172,676.6348568558512,26.65752645057816,60.727219352952886,0.7074349371747293,2.928661827589707,100.0,21.89868408398877,0.7074349371747293,2.928661827589707,100.0,21.01019332782278,0.7074349371747293,2.928661827589707,100.0,31.3836952121883,0.7074349371747293,2.928661827589707,100.0
뉴질랜드,1,5225.0,43296.0,62097.0,845.4628613245518,728.6315789473684,43.42433481152994,60.78451706443086,0.4486089956878718,3.47397632646642,100.0,22.174107595017425,0.4486089956878718,3.47397632646642,100.0,20.963960662706008,0.4486089956878718,3.47397632646642,100.0,31.52417322929293,0.4486089956878718,3.47397632646642,100.0
베트남,4,327024.0,2523422.0,3151225.0,412.5961728151509,671.6320514702285,24.879033312699978,20.12725940214715,22.765477920616355,2.870819090119386,25.0,11.275587038194903,22.765477920616355,2.870819090119386,25.0,19.23345057039369,22.765477920616355,2.870819090119386,25.0,15.477971012232661,22.765477920616355,2.870819090119386,25.0
러시아,3,221344.0,1862687.0,1980123.0,759.2558753584668,741.5348959086309,6.304655586257916,33.31435420679178,14.305054839500391,2.2667161944585357,50.0,14.2210406845752,14.305054839500391,2.2667161944585357,50.0,19.03637614259194,14.305054839500391,2.2667161944585357,50.0,20.19820292963353,14.305054839500391,2.2667161944585357,50.0
카타르,2,1655.0,12924.0,76260.0,1309.7530082330588,680.9063444108762,490.0649953574745,48.710239971957336,0.5509271303147834,18.000272729471895,75.0,25.910349063746093,0.5509271303147834,18.000272729471895,75.0,18.93061082408325,0.5509271303147834,18.000272729471895,75.0,29.865387230883194,0.5509271303147834,18.000272729471895,75.0
폴란드,2,30330.0,224124.0,477534.0,675.6039004210681,638.9515331355094,113.06687369491888,46.837770724762585,3.4498614771536817,5.738992146659254,75.0,19.13336758342629,3.4498614771536817,5.738992146659254,75.0,18.21771531562406,3.4498614771536817,5.738992146659254,75.0,25.830555301809806,3.4498614771536817,5.738992146659254,75.0
칠레,2,7015.0,38154.0,129901.0,690.4699165568732,443.8916607270135,240.4649578025895,47.16417298658835,0.938447222069508,9.882417710872247,75.0,21.11714007093725,0.938447222069508,9.882417710872247,75.0,17.539551875416155,0.938447222069508,9.882417710872247,75.0,26.73450125096975,0.938447222069508,9.882417710872247,75.0
